id,nome,nome_completo,ruolo,ruolo_completo,p1,p2,p3,p4,squadra,v1,v2,piede,paese,nascita,foto,m1,m2,m3
4431,Carnesecchi,Carnesecchi Marco,P,Por,14,11,14,11,Atalanta,53,30,destro,Italia,01/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CARNESECCHI.png?v=50,0,6.18,5.36
2792,Musso,Musso Juan,P,Por,8,3,8,3,Atalanta,10,10,destro,Argentina;Italia,06/05/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png?v=50,0,6.1,4.9
2297,Rossi F.,Rossi Francesco,P,Por,1,1,1,1,Atalanta,1,1,destro,Italia,27/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ROSSI-F.png?v=50,0,0.0,0.0
4332,Demiral,Demiral Merih,D,Dc,8,8,8,8,Atalanta,11,11,ambidestro,Turchia,05/03/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png?v=50,1,0.0,0.0
787,Djimsiti,Djimsiti Berat,D,Dc,9,7,9,7,Atalanta,26,26,destro,Albania;Svizzera,16/02/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png?v=50,0,6.0,5.95
4432,Okoli,Okoli Caleb,D,Dc,4,2,4,2,Frosinone,13,13,destro,Nigeria,13/07/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OKOLI.png?v=50,0,5.75,5.58
2181,Palomino,Palomino Josè Luis,D,Dc,1,7,1,7,Atalanta,8,8,sinistro,Argentina,05/01/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png?v=50,0,0.0,0.0
5526,Scalvini,Scalvini Giorgio,D,Dc,8,9,8,9,Atalanta,30,30,destro,Italia,11/12/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SCALVINI.png?v=50,0,5.89,5.89
695,Toloi,Toloi Rafael,D,Dc,2,9,2,9,Atalanta,18,18,destro,Brasile;Italia,10/10/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png?v=50,0,5.92,5.58
2640,Kolasinac,Kolasinac Sead,D,Ds;Dc,12,9,12,10,Atalanta,33,38,sinistro,Bosnia Erzegovina;Germania,20/06/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KOLASINAC.png?v=50,0,6.06,6.17
5354,Ruggeri,Ruggeri Matteo,D,Ds;E,12,3,12,4,Atalanta,33,33,sinistro,Italia,11/07/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RUGGERI.png?v=50,0,6.02,6.15
4433,Zortea,Zortea Nadir,D,Dd;Ds;E,6,3,7,4,Frosinone,27,32,destro,Italia,19/06/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZORTEA.png?v=50,0,6.25,6.75
5067,Bakker,Bakker Mitchel,D,E,6,12,2,11,Atalanta,7,7,sinistro,Olanda,20/06/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BAKKER.png?v=50,0,5.5,5.5
2130,Hateboer,Hateboer Hans,D,E,4,7,4,6,Atalanta,15,10,destro,Olanda,09/01/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/HATEBOER.png?v=50,0,5.69,5.69
5375,Maehle,Maehle Joakim,D,E,11,11,10,10,Atalanta,23,19,destro,Danimarca,20/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MAEHLE.png?v=50,1,0.0,0.0
5686,Soppy,Soppy Brandon,D,E,2,2,2,2,Torino,3,3,destro,Francia;Costa d''Avorio,21/02/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SOPPY.png?v=50,0,5.83,5.83
554,Zappacosta,Zappacosta Davide,D,E,8,15,8,14,Atalanta,31,28,destro,Italia,11/06/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png?v=50,0,5.92,6.03
4870,Adopo,Adopo Michel Ndary,C,M;C,1,2,1,2,Atalanta,4,5,destro,Francia;Costa d''Avorio,19/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,5.75,6.25
22,De Roon,De Roon Marten,C,M;C,11,11,11,12,Atalanta,33,40,destro,Olanda,29/03/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DE-ROON.png?v=50,0,6.02,6.1
5792,Ederson D.s.,Ederson da Silva,C,C;T,20,10,20,10,Atalanta,64,64,destro,Brasile,07/07/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/EDERSON-DS.png?v=50,0,6.14,6.81
5685,Koopmeiners,Koopmeiners Teun,C,C;T,25,24,25,24,Atalanta,110,110,sinistro,Olanda,28/02/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KOOPMEINERS.png?v=50,0,6.34,7.24
2077,Pasalic,Pasalic Mario,C,T,14,14,14,13,Atalanta,39,35,destro,Croazia,09/02/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PASALIC.png?v=50,0,6.06,6.47
5001,Miranchuk,Miranchuk Aleksej,C,T;A,12,10,12,10,Atalanta,43,40,sinistro,Russia,17/10/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MIRANCHUK.png?v=50,0,6.22,7.11
4436,Cambiaghi,Cambiaghi Nicolò,A,A,11,12,11,12,Empoli,27,27,destro,Italia,28/12/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CAMBIAGHI.png?v=50,0,6.05,6.07
4730,Lookman,Lookman Ademola,A,A,28,26,28,26,Atalanta,240,240,destro,Inghilterra;Nigeria,20/10/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LOOKMAN.png?v=50,0,6.38,7.74
507,Muriel,Muriel Luis,A,Pc,15,14,15,13,Atalanta,30,20,destro,Colombia,16/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png?v=50,0,6.15,6.69
6229,Toure' E.,Tourè El Bilal,A,Pc,3,16,2,15,Atalanta,25,15,ambidestro,Mali;Costa D''Avorio,03/10/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,0.0,0.0
608,Zapata D.,Zapata Duvan,A,Pc,24,19,24,19,Torino,105,105,destro,Colombia,01/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png?v=50,0,6.22,7.22
5822,Bagnolini,Bagnolini Nicola,P,Por,1,1,1,1,Bologna,1,1,destro,Italia,14/03/2004 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,0.0,0.0
2722,Ravaglia F.,Ravaglia Federico,P,Por,4,1,4,1,Bologna,1,1,destro,Italia,11/11/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.0,5.5
133,Skorupski,Skorupski Lukasz,P,Por,15,10,15,10,Bologna,50,50,destro,Polonia,05/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SKORUPSKI.png?v=50,0,6.21,5.32
6202,Beukema,Beukema Sam,D,Dc,8,6,8,6,Bologna,24,24,destro,Olanda,17/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BEUKEMA.png?v=50,0,6.0,5.91
2192,Bonifazi,Bonifazi Kevin,D,Dc,2,3,2,3,Frosinone,12,12,destro,Italia,19/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BONIFAZI.png?v=50,0,5.75,5.75
6042,Lucumi',Lucumì Jhon,D,Dc,8,7,8,7,Bologna,17,17,sinistro,Colombia,26/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LUCUMI.png?v=50,0,6.04,6.0
6043,Sosa,Sosa Joaquin,D,Dc,1,2,1,2,Bologna,2,2,sinistro,Uruguay;Italia,10/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,1,0.0,0.0
4891,Soumaoro,Soumaoro Adama,D,Dc,1,4,1,4,Bologna,5,5,destro,Francia;Mali,18/06/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SOUMAORO.png?v=50,0,0.0,0.0
5424,Amey,Amey Wisdom,D,Dd;Dc,1,1,1,1,Bologna,1,2,destro,Italia;Togo,11/05/2005 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,0.0,0.0
6066,Posch,Posch Stefan,D,Dd;Dc,9,16,9,18,Bologna,26,30,destro,Austria,14/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/POSCH.png?v=50,0,6.03,5.93
487,De Silvestri,De Silvestri Lorenzo,D,Dd;E,11,2,11,2,Bologna,8,8,destro,Italia,23/05/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png?v=50,0,6.28,6.94
2653,Lykogiannis,Lykogiannis Charalampos,D,Ds;E,8,5,8,5,Bologna,12,12,sinistro,Grecia,22/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LYKOGIANNIS.png?v=50,0,5.85,6.12
4869,Dominguez,Dominguez Nicolas,C,M;C,12,12,14,14,Bologna,26,30,destro,Argentina,28/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DOMINGUEZ.png?v=50,1,5.75,5.75
6225,El Azzouzi,El Azzouzi Oussama ,C,M;C,2,1,2,1,Bologna,2,2,destro,Marocco;Olanda,29/05/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.17,6.33
